Round  95, Train Loss 1.114, Train Acc 59.85, Test Loss 1.394, Test Acc 52.43
Round  96, Train Loss 1.137, Train Acc 59.70, Test Loss 1.385, Test Acc 52.91
Round  97, Train Loss 1.117, Train Acc 59.79, Test Loss 1.389, Test Acc 52.76
Round  98, Train Loss 1.066, Train Acc 59.89, Test Loss 1.393, Test Acc 52.26
Round  99, Train Loss 1.087, Train Acc 59.91, Test Loss 1.384, Test Acc 52.29
Round 100, Train Loss 1.094, Train Acc 59.99, Test Loss 1.384, Test Acc 52.80
Round 101, Train Loss 1.055, Train Acc 60.10, Test Loss 1.389, Test Acc 52.38
Round 102, Train Loss 1.124, Train Acc 59.93, Test Loss 1.394, Test Acc 52.52
Round 103, Train Loss 1.063, Train Acc 60.04, Test Loss 1.388, Test Acc 52.64
Round 104, Train Loss 1.115, Train Acc 60.27, Test Loss 1.387, Test Acc 52.52
Round 105, Train Loss 1.115, Train Acc 60.37, Test Loss 1.385, Test Acc 52.00
Round 106, Train Loss 1.068, Train Acc 60.54, Test Loss 1.387, Test Acc 52.12
Round 107, Train Loss 1.093, Train Acc 59.99, Test Loss 1.391, Test Acc 51.90
Round 108, Train Loss 1.080, Train Acc 60.80, Test Loss 1.388, Test Acc 52.47
Round 109, Train Loss 1.103, Train Acc 60.59, Test Loss 1.386, Test Acc 52.69
Round 110, Train Loss 1.056, Train Acc 60.75, Test Loss 1.388, Test Acc 52.84
Round 111, Train Loss 1.088, Train Acc 60.64, Test Loss 1.390, Test Acc 52.39
Round 112, Train Loss 1.041, Train Acc 60.65, Test Loss 1.387, Test Acc 52.93
Round 113, Train Loss 1.039, Train Acc 60.73, Test Loss 1.392, Test Acc 53.01
Round 114, Train Loss 1.042, Train Acc 61.21, Test Loss 1.387, Test Acc 52.66
Round 115, Train Loss 1.069, Train Acc 61.10, Test Loss 1.389, Test Acc 52.77
Round 116, Train Loss 1.083, Train Acc 60.68, Test Loss 1.396, Test Acc 52.61
Round 117, Train Loss 1.096, Train Acc 61.12, Test Loss 1.387, Test Acc 52.58
Round 118, Train Loss 1.015, Train Acc 61.48, Test Loss 1.386, Test Acc 53.05
Round 119, Train Loss 1.024, Train Acc 61.13, Test Loss 1.389, Test Acc 53.02
Round 120, Train Loss 1.087, Train Acc 61.13, Test Loss 1.394, Test Acc 53.11
Round 121, Train Loss 1.066, Train Acc 61.04, Test Loss 1.394, Test Acc 53.07
Round 122, Train Loss 1.031, Train Acc 61.43, Test Loss 1.385, Test Acc 52.80
Round 123, Train Loss 1.068, Train Acc 61.41, Test Loss 1.388, Test Acc 52.69
Round 124, Train Loss 1.086, Train Acc 61.68, Test Loss 1.382, Test Acc 52.99
Round 125, Train Loss 1.028, Train Acc 61.84, Test Loss 1.378, Test Acc 53.00
Round 126, Train Loss 1.042, Train Acc 61.69, Test Loss 1.384, Test Acc 52.95
Round 127, Train Loss 1.041, Train Acc 61.30, Test Loss 1.394, Test Acc 53.27
Round 128, Train Loss 1.074, Train Acc 61.78, Test Loss 1.389, Test Acc 53.69
Round 129, Train Loss 1.060, Train Acc 62.07, Test Loss 1.374, Test Acc 53.87
Round 130, Train Loss 1.040, Train Acc 61.52, Test Loss 1.393, Test Acc 52.49
Round 131, Train Loss 1.061, Train Acc 61.77, Test Loss 1.383, Test Acc 53.34
Round 132, Train Loss 1.031, Train Acc 61.74, Test Loss 1.394, Test Acc 53.01
Round 133, Train Loss 1.050, Train Acc 61.87, Test Loss 1.392, Test Acc 52.83
Round 134, Train Loss 1.040, Train Acc 62.28, Test Loss 1.378, Test Acc 53.08
Round 135, Train Loss 1.051, Train Acc 62.06, Test Loss 1.389, Test Acc 53.03
Round 136, Train Loss 1.023, Train Acc 61.71, Test Loss 1.399, Test Acc 52.69
Round 137, Train Loss 1.013, Train Acc 61.81, Test Loss 1.398, Test Acc 52.70
Round 138, Train Loss 1.028, Train Acc 62.16, Test Loss 1.382, Test Acc 52.95
Round 139, Train Loss 1.006, Train Acc 62.27, Test Loss 1.386, Test Acc 53.21
Round 140, Train Loss 1.025, Train Acc 62.45, Test Loss 1.384, Test Acc 53.34
Round 141, Train Loss 1.059, Train Acc 62.41, Test Loss 1.379, Test Acc 53.41
Round 142, Train Loss 1.029, Train Acc 62.61, Test Loss 1.381, Test Acc 53.33
Round 143, Train Loss 1.070, Train Acc 62.17, Test Loss 1.387, Test Acc 52.91
Round 144, Train Loss 1.074, Train Acc 62.42, Test Loss 1.382, Test Acc 52.91
Round 145, Train Loss 1.022, Train Acc 62.23, Test Loss 1.390, Test Acc 52.92
Round 146, Train Loss 1.047, Train Acc 62.48, Test Loss 1.386, Test Acc 52.72
Round 147, Train Loss 1.010, Train Acc 62.34, Test Loss 1.382, Test Acc 53.28
Round 148, Train Loss 0.969, Train Acc 62.71, Test Loss 1.386, Test Acc 53.57
Round 149, Train Loss 1.011, Train Acc 62.59, Test Loss 1.383, Test Acc 53.11
Round 150, Train Loss 0.993, Train Acc 62.61, Test Loss 1.384, Test Acc 52.90
Round 151, Train Loss 1.022, Train Acc 62.59, Test Loss 1.381, Test Acc 53.32
Round 152, Train Loss 1.018, Train Acc 62.49, Test Loss 1.385, Test Acc 53.03
Round 153, Train Loss 1.005, Train Acc 62.65, Test Loss 1.382, Test Acc 53.12
Round 154, Train Loss 1.004, Train Acc 62.67, Test Loss 1.377, Test Acc 53.47
Round 155, Train Loss 1.056, Train Acc 62.83, Test Loss 1.387, Test Acc 53.28
Round 156, Train Loss 1.013, Train Acc 62.91, Test Loss 1.383, Test Acc 53.56
Round 157, Train Loss 1.036, Train Acc 62.70, Test Loss 1.387, Test Acc 53.11
Round 158, Train Loss 1.046, Train Acc 62.94, Test Loss 1.384, Test Acc 53.35
Round 159, Train Loss 1.020, Train Acc 62.80, Test Loss 1.383, Test Acc 52.67
Round 160, Train Loss 1.022, Train Acc 62.96, Test Loss 1.376, Test Acc 53.19
Round 161, Train Loss 0.976, Train Acc 63.06, Test Loss 1.382, Test Acc 53.32
Round 162, Train Loss 1.040, Train Acc 63.25, Test Loss 1.385, Test Acc 53.00
Round 163, Train Loss 1.017, Train Acc 63.33, Test Loss 1.379, Test Acc 53.60
Round 164, Train Loss 1.010, Train Acc 63.61, Test Loss 1.380, Test Acc 53.20
Round 165, Train Loss 1.032, Train Acc 63.24, Test Loss 1.383, Test Acc 53.15
Round 166, Train Loss 1.032, Train Acc 63.16, Test Loss 1.393, Test Acc 52.78
Round 167, Train Loss 0.988, Train Acc 63.36, Test Loss 1.384, Test Acc 53.34
Round 168, Train Loss 0.986, Train Acc 63.66, Test Loss 1.377, Test Acc 53.53
Round 169, Train Loss 0.982, Train Acc 63.70, Test Loss 1.385, Test Acc 53.60
Round 170, Train Loss 0.996, Train Acc 63.95, Test Loss 1.384, Test Acc 53.75
Round 171, Train Loss 0.998, Train Acc 63.69, Test Loss 1.381, Test Acc 53.35
Round 172, Train Loss 1.021, Train Acc 64.25, Test Loss 1.379, Test Acc 53.68
Round 173, Train Loss 1.013, Train Acc 63.75, Test Loss 1.382, Test Acc 53.19
Round 174, Train Loss 1.006, Train Acc 63.98, Test Loss 1.377, Test Acc 53.46
Round 175, Train Loss 1.010, Train Acc 64.24, Test Loss 1.376, Test Acc 53.42
Round 176, Train Loss 0.977, Train Acc 64.11, Test Loss 1.383, Test Acc 53.38
Round 177, Train Loss 0.957, Train Acc 63.87, Test Loss 1.392, Test Acc 53.38
Round 178, Train Loss 0.978, Train Acc 63.74, Test Loss 1.388, Test Acc 53.34
Round 179, Train Loss 1.026, Train Acc 63.99, Test Loss 1.384, Test Acc 53.51
Round 180, Train Loss 0.984, Train Acc 64.30, Test Loss 1.381, Test Acc 53.79
Round 181, Train Loss 0.964, Train Acc 64.17, Test Loss 1.387, Test Acc 53.33
Round 182, Train Loss 0.987, Train Acc 64.51, Test Loss 1.383, Test Acc 53.99
Round 183, Train Loss 0.972, Train Acc 64.15, Test Loss 1.388, Test Acc 53.07
Round 184, Train Loss 0.981, Train Acc 64.40, Test Loss 1.395, Test Acc 53.30
Round 185, Train Loss 1.009, Train Acc 64.20, Test Loss 1.386, Test Acc 53.62
Round 186, Train Loss 1.010, Train Acc 64.29, Test Loss 1.380, Test Acc 53.70
Round 187, Train Loss 0.990, Train Acc 64.37, Test Loss 1.388, Test Acc 53.10
Round 188, Train Loss 0.961, Train Acc 64.67, Test Loss 1.382, Test Acc 53.51
Round 189, Train Loss 0.952, Train Acc 64.35, Test Loss 1.387, Test Acc 53.56
Round 190, Train Loss 1.023, Train Acc 64.85, Test Loss 1.380, Test Acc 52.85
Round 191, Train Loss 0.942, Train Acc 64.60, Test Loss 1.378, Test Acc 53.15
Round 192, Train Loss 0.927, Train Acc 64.73, Test Loss 1.383, Test Acc 53.50
Round 193, Train Loss 0.978, Train Acc 64.42, Test Loss 1.384, Test Acc 53.83
Round 194, Train Loss 0.978, Train Acc 64.75, Test Loss 1.389, Test Acc 53.07
Round 195, Train Loss 0.984, Train Acc 64.47, Test Loss 1.404, Test Acc 52.93
Round 196, Train Loss 1.000, Train Acc 64.97, Test Loss 1.391, Test Acc 53.33
Round 197, Train Loss 0.967, Train Acc 64.79, Test Loss 1.393, Test Acc 53.25
Round 198, Train Loss 0.964, Train Acc 64.86, Test Loss 1.394, Test Acc 52.97
Round 199, Train Loss 0.995, Train Acc 64.54, Test Loss 1.401, Test Acc 53.05
Round 200, Train Loss 0.949, Train Acc 64.89, Test Loss 1.392, Test Acc 53.22
Round 201, Train Loss 0.959, Train Acc 64.89, Test Loss 1.396, Test Acc 53.71
Round 202, Train Loss 0.997, Train Acc 65.00, Test Loss 1.388, Test Acc 53.15
Round 203, Train Loss 0.995, Train Acc 65.08, Test Loss 1.382, Test Acc 53.39
