Round 470, Average loss 1.082
Round 471, Average loss 1.078
Round 472, Average loss 1.044
Round 473, Average loss 1.105
Round 474, Average loss 1.105
Round 475, Average loss 1.088
Round 476, Average loss 1.115
Round 477, Average loss 1.097
Round 478, Average loss 1.071
Round 479, Average loss 1.092
Round 480, Average loss 1.069
Round 481, Average loss 1.088
Round 482, Average loss 1.062
Round 483, Average loss 1.101
Round 484, Average loss 1.095
Round 485, Average loss 1.047
Round 486, Average loss 1.099
Round 487, Average loss 1.115
Round 488, Average loss 1.090
Round 489, Average loss 1.083
Round 490, Average loss 1.060
Round 491, Average loss 1.065
Round 492, Average loss 1.105
Round 493, Average loss 1.098
Round 494, Average loss 1.094
Round 495, Average loss 1.076
Round 496, Average loss 1.106
Round 497, Average loss 1.062
Round 498, Average loss 1.068
Round 499, Average loss 1.100
Round 500, Average loss 1.063
Round 501, Average loss 1.104
Round 502, Average loss 1.058
Round 503, Average loss 1.067
Round 504, Average loss 1.053
Round 505, Average loss 1.122
Round 506, Average loss 1.098
Round 507, Average loss 1.062
Round 508, Average loss 1.050
Round 509, Average loss 1.134
Round 510, Average loss 1.038
Round 511, Average loss 1.116
Round 512, Average loss 1.072
Round 513, Average loss 1.031
Round 514, Average loss 1.070
Round 515, Average loss 1.039
Round 516, Average loss 1.060
Round 517, Average loss 1.059
Round 518, Average loss 1.044
Round 519, Average loss 1.085
Round 520, Average loss 1.048
Round 521, Average loss 1.065
Round 522, Average loss 1.080
Round 523, Average loss 1.076
Round 524, Average loss 1.063
Round 525, Average loss 1.050
Round 526, Average loss 1.042
Round 527, Average loss 1.087
Round 528, Average loss 1.053
Round 529, Average loss 1.049
Round 530, Average loss 1.060
Round 531, Average loss 1.028
Round 532, Average loss 1.057
Round 533, Average loss 1.050
Round 534, Average loss 1.076
Round 535, Average loss 1.045
Round 536, Average loss 1.102
Round 537, Average loss 1.026
Round 538, Average loss 1.072
Round 539, Average loss 1.060
Round 540, Average loss 1.041
Round 541, Average loss 1.059
Round 542, Average loss 1.082
Round 543, Average loss 1.077
Round 544, Average loss 1.053
Round 545, Average loss 1.049
Round 546, Average loss 1.027
Round 547, Average loss 1.088
Round 548, Average loss 1.054
Round 549, Average loss 1.035
Round 550, Average loss 1.053
Round 551, Average loss 1.044
Round 552, Average loss 1.072
Round 553, Average loss 1.028
Round 554, Average loss 1.069
Round 555, Average loss 1.046
Round 556, Average loss 1.072
Round 557, Average loss 1.039
Round 558, Average loss 1.086
Round 559, Average loss 1.031
Round 560, Average loss 1.056
Round 561, Average loss 1.047
Round 562, Average loss 1.060
Round 563, Average loss 1.085
Round 564, Average loss 1.058
Round 565, Average loss 1.076
Round 566, Average loss 1.060
Round 567, Average loss 1.065
Round 568, Average loss 1.091
Round 569, Average loss 1.054
Round 570, Average loss 1.059
Round 571, Average loss 1.056
Round 572, Average loss 1.021
Round 573, Average loss 1.067
Round 574, Average loss 1.073
Round 575, Average loss 1.065
Round 576, Average loss 1.032
Round 577, Average loss 1.055
Round 578, Average loss 1.057
Round 579, Average loss 1.056
Round 580, Average loss 1.026
Round 581, Average loss 1.009
Round 582, Average loss 1.100
Round 583, Average loss 1.055
Round 584, Average loss 1.046
Round 585, Average loss 1.058
Round 586, Average loss 1.075
Round 587, Average loss 1.066
Round 588, Average loss 1.074
Round 589, Average loss 1.024
Round 590, Average loss 1.019
Round 591, Average loss 1.048
Round 592, Average loss 1.014
Round 593, Average loss 1.016
Round 594, Average loss 1.090
Round 595, Average loss 1.041
Round 596, Average loss 1.053
Round 597, Average loss 1.047
Round 598, Average loss 1.058
Round 599, Average loss 0.973
Round 600, Average loss 1.021
Round 601, Average loss 1.041
Round 602, Average loss 1.026
Round 603, Average loss 1.051
Round 604, Average loss 1.059
Round 605, Average loss 1.054
Round 606, Average loss 1.064
Round 607, Average loss 1.015
Round 608, Average loss 1.030
Round 609, Average loss 1.034
Round 610, Average loss 1.055
Round 611, Average loss 1.038
Round 612, Average loss 1.033
Round 613, Average loss 1.042
Round 614, Average loss 1.046
Round 615, Average loss 1.057
Round 616, Average loss 1.010
Round 617, Average loss 1.037
Round 618, Average loss 1.055
Round 619, Average loss 1.063
Round 620, Average loss 1.035
Round 621, Average loss 1.080
Round 622, Average loss 1.025
Round 623, Average loss 1.012
Round 624, Average loss 1.018
Round 625, Average loss 1.036
Round 626, Average loss 1.035
Round 627, Average loss 1.019
Round 628, Average loss 1.058
Round 629, Average loss 1.019
Round 630, Average loss 1.004
Round 631, Average loss 1.031
Round 632, Average loss 1.034
Round 633, Average loss 0.988
Round 634, Average loss 1.034
Round 635, Average loss 1.036
Round 636, Average loss 1.059
Round 637, Average loss 0.996
Round 638, Average loss 1.065
Round 639, Average loss 1.046
Round 640, Average loss 1.046
Round 641, Average loss 1.046
Round 642, Average loss 1.013
Round 643, Average loss 1.015
Round 644, Average loss 1.019
Round 645, Average loss 1.009
Round 646, Average loss 1.045
Round 647, Average loss 1.061
Round 648, Average loss 1.080
Round 649, Average loss 1.009
Round 650, Average loss 1.045
Round 651, Average loss 1.021
Round 652, Average loss 1.033
Round 653, Average loss 1.034
Round 654, Average loss 1.042
Round 655, Average loss 1.026
Round 656, Average loss 1.002
Round 657, Average loss 1.028
Round 658, Average loss 1.023
Round 659, Average loss 1.043
Round 660, Average loss 1.054
Round 661, Average loss 1.013
